step,env_step,ep_done,viol,mean_delay,mean_energy,alpha,H,c_loss
1500,48000,480,0.31505786510548806,16.77327523444981,0.011760210452763622,0.0744377543926239,0.051660361774265764,0.07143023682013154
3000,96000,960,0.3023554942672312,16.280890263090832,0.010554910238492698,0.12998765218257904,0.047650819912552836,0.09785913816094398
4500,144000,1440,0.3063352003569734,16.313547404019506,0.009912506656347114,0.23409853878617287,0.04599348702281714,0.11474287012964487
6000,192000,1920,0.30788673602697514,16.338859996215305,0.010146559122037406,0.30000001192092896,0.04427779422700405,0.12485243289917708
7500,240000,2400,0.3032061085374644,16.19080333937235,0.010175664464586343,0.30000001192092896,0.041609788198024036,0.13260663560032845
9000,288000,2880,0.2986909955881198,15.813228104926585,0.009813491798191043,0.30000001192092896,0.04129563650488854,0.13169076393544674
10500,336000,3360,0.3023063984457133,15.972125324003919,0.010265252767717847,0.30000001192092896,0.04159573036059737,0.12663360981643199
12000,384000,3840,0.30626673667126,16.276415492241657,0.010294455784586898,0.30000001192092896,0.04179117471352219,0.12423044424504041
