mean_smooth std_smooth
3.40022 0.00000
3.56568 0.00000
3.85242 0.00000
4.02375 0.00000
4.07029 0.00000
4.18560 0.00000
4.31762 0.00000
4.22015 0.00000
4.10841 0.00000
4.18540 0.00000
4.24014 0.00000
4.14526 0.00000
4.18409 0.00000
4.27656 0.00000
4.30162 0.00000
4.24879 0.00000
4.41431 0.00000
4.42680 0.00000
4.46196 0.00000
4.30496 0.00000
4.33534 0.00000
4.10909 0.00000
4.09702 0.00000
4.06543 0.00000
4.22077 0.00000
4.19721 0.00000
4.39203 0.00000
4.38891 0.00000
4.45044 0.00000
4.49017 0.00000
4.58425 0.00000
4.45601 0.00000
4.60153 0.00000
4.58759 0.00000
4.46913 0.00000
4.49767 0.00000
4.42862 0.00000
4.31406 0.00000
4.22708 0.00000
4.24533 0.00000
4.26102 0.00000
4.51243 0.00000
4.56488 0.00000
4.49170 0.00000
4.48180 0.00000
4.37815 0.00000
4.31006 0.00000
4.40865 0.00000
4.61504 0.00000
4.63122 0.00000
4.56796 0.00000
4.51675 0.00000
4.46369 0.00000
4.37525 0.00000
4.47137 0.00000
4.34860 0.00000
4.26045 0.00000
4.14745 0.00000
4.08107 0.00000
3.95746 0.00000
4.09789 0.00000
4.35365 0.00000
4.25617 0.00000
4.21386 0.00000
4.25407 0.00000
4.27509 0.00000
4.04983 0.00000
4.21769 0.00000
4.15428 0.00000
4.13228 0.00000
4.03480 0.00000
4.01113 0.00000
3.91673 0.00000
4.05795 0.00000
3.98682 0.00000
4.24708 0.00000
4.31297 0.00000
4.36752 0.00000
4.30451 0.00000
4.20410 0.00000
4.22077 0.00000
4.35350 0.00000
4.24179 0.00000
4.25623 0.00000
4.40154 0.00000
4.44192 0.00000
4.10732 0.00000
4.23982 0.00000
4.34153 0.00000
4.34551 0.00000
4.16185 0.00000
4.43170 0.00000
4.47491 0.00000
4.49892 0.00000
4.46737 0.00000
4.40887 0.00000
4.30997 0.00000
4.14630 0.00000
3.96953 0.00000
3.89094 0.00000
