mean_smooth std_smooth
66.41946 0.00000
49.75882 0.00000
42.87250 0.00000
38.47614 0.00000
35.07188 0.00000
25.41973 0.00000
21.16171 0.00000
19.92089 0.00000
18.06200 0.00000
18.12785 0.00000
20.55020 0.00000
23.39526 0.00000
23.46489 0.00000
24.13411 0.00000
23.80417 0.00000
20.32090 0.00000
20.00189 0.00000
19.54590 0.00000
21.77559 0.00000
21.61472 0.00000
24.98921 0.00000
24.74469 0.00000
25.71976 0.00000
23.85598 0.00000
23.51259 0.00000
21.41694 0.00000
21.79740 0.00000
23.09117 0.00000
22.81976 0.00000
20.85129 0.00000
21.67577 0.00000
21.42176 0.00000
17.27333 0.00000
15.30696 0.00000
18.64913 0.00000
16.12798 0.00000
16.28927 0.00000
18.77004 0.00000
21.68146 0.00000
22.04642 0.00000
23.18231 0.00000
20.46083 0.00000
18.66403 0.00000
18.68424 0.00000
18.15868 0.00000
18.69508 0.00000
20.06531 0.00000
19.09300 0.00000
17.01424 0.00000
16.07383 0.00000
19.56509 0.00000
21.70024 0.00000
24.10177 0.00000
24.54949 0.00000
23.73253 0.00000
24.17771 0.00000
25.48940 0.00000
27.33484 0.00000
29.51890 0.00000
32.45332 0.00000
28.08476 0.00000
22.86189 0.00000
21.43946 0.00000
20.55431 0.00000
19.30052 0.00000
21.75161 0.00000
24.89483 0.00000
24.56196 0.00000
25.78512 0.00000
25.90032 0.00000
24.04929 0.00000
26.05688 0.00000
25.01820 0.00000
24.39066 0.00000
25.26016 0.00000
24.34917 0.00000
23.14470 0.00000
25.51905 0.00000
24.35541 0.00000
23.07763 0.00000
23.41151 0.00000
20.72998 0.00000
20.42782 0.00000
21.38422 0.00000
19.70393 0.00000
18.50660 0.00000
26.13823 0.00000
26.38761 0.00000
25.22105 0.00000
28.01199 0.00000
27.69397 0.00000
20.48688 0.00000
17.60702 0.00000
15.47496 0.00000
14.21525 0.00000
16.10701 0.00000
15.49605 0.00000
17.92350 0.00000
21.28172 0.00000
21.19636 0.00000
