mean_smooth std_smooth
58.66932 0.00000
64.52067 0.00000
54.80405 0.00000
53.92616 0.00000
51.78568 0.00000
51.12675 0.00000
49.31605 0.00000
53.02468 0.00000
54.76483 0.00000
56.23859 0.00000
72.89726 0.00000
71.31541 0.00000
74.51407 0.00000
74.44317 0.00000
76.43656 0.00000
64.32081 0.00000
70.63256 0.00000
67.20573 0.00000
70.05498 0.00000
68.36206 0.00000
65.31047 0.00000
60.04262 0.00000
59.68010 0.00000
57.55785 0.00000
57.44037 0.00000
52.88152 0.00000
51.64527 0.00000
52.99767 0.00000
56.43274 0.00000
62.28093 0.00000
66.08466 0.00000
68.80829 0.00000
74.61911 0.00000
72.43400 0.00000
70.42323 0.00000
66.84987 0.00000
64.37729 0.00000
57.72950 0.00000
55.71286 0.00000
66.89426 0.00000
79.68810 0.00000
79.41662 0.00000
81.43537 0.00000
81.71810 0.00000
71.74975 0.00000
61.62111 0.00000
66.74034 0.00000
67.32878 0.00000
71.18154 0.00000
64.73955 0.00000
66.19021 0.00000
63.10500 0.00000
60.59078 0.00000
59.25118 0.00000
67.41771 0.00000
61.93603 0.00000
61.31906 0.00000
59.40506 0.00000
58.93414 0.00000
56.70513 0.00000
69.18473 0.00000
69.21468 0.00000
69.75644 0.00000
70.91898 0.00000
73.36294 0.00000
68.56108 0.00000
71.22726 0.00000
73.49624 0.00000
75.68265 0.00000
70.25810 0.00000
66.22602 0.00000
60.70268 0.00000
64.47430 0.00000
60.51160 0.00000
63.36070 0.00000
65.96106 0.00000
70.42134 0.00000
66.46833 0.00000
67.68968 0.00000
62.42359 0.00000
63.69562 0.00000
61.89043 0.00000
63.03606 0.00000
55.40047 0.00000
58.20783 0.00000
62.11006 0.00000
66.61982 0.00000
76.24393 0.00000
81.67384 0.00000
81.02845 0.00000
75.14044 0.00000
69.32463 0.00000
59.43297 0.00000
61.32862 0.00000
60.54151 0.00000
63.77574 0.00000
69.63328 0.00000
67.87434 0.00000
69.73576 0.00000
70.84820 0.00000
