mean_smooth std_smooth
42.37617 0.00000
40.79068 0.00000
32.71493 0.00000
29.92159 0.00000
28.59925 0.00000
23.62729 0.00000
20.40767 0.00000
22.50160 0.00000
23.41900 0.00000
22.62095 0.00000
29.20308 0.00000
28.37048 0.00000
27.89547 0.00000
27.34275 0.00000
26.62567 0.00000
22.66456 0.00000
24.70770 0.00000
22.50165 0.00000
23.09228 0.00000
24.61986 0.00000
22.91686 0.00000
20.40616 0.00000
21.46082 0.00000
22.41920 0.00000
24.25317 0.00000
26.20382 0.00000
26.80661 0.00000
27.15079 0.00000
28.80798 0.00000
30.00412 0.00000
30.37872 0.00000
30.48059 0.00000
34.90788 0.00000
36.09984 0.00000
33.35529 0.00000
32.21187 0.00000
33.56908 0.00000
31.14265 0.00000
27.65641 0.00000
27.64296 0.00000
28.23805 0.00000
29.87739 0.00000
29.30791 0.00000
27.24606 0.00000
27.66666 0.00000
29.45143 0.00000
27.91445 0.00000
30.04041 0.00000
35.15303 0.00000
35.73773 0.00000
34.47578 0.00000
35.74389 0.00000
33.99066 0.00000
32.84565 0.00000
30.26813 0.00000
28.18650 0.00000
27.58336 0.00000
26.18058 0.00000
23.92885 0.00000
26.04475 0.00000
27.17549 0.00000
26.55911 0.00000
24.82077 0.00000
26.64982 0.00000
27.49340 0.00000
29.38817 0.00000
32.45606 0.00000
32.73014 0.00000
34.35869 0.00000
32.79460 0.00000
28.52465 0.00000
24.89716 0.00000
27.09717 0.00000
23.26043 0.00000
25.21827 0.00000
27.42751 0.00000
27.52607 0.00000
26.70103 0.00000
28.05435 0.00000
27.77322 0.00000
30.35322 0.00000
30.96334 0.00000
33.27741 0.00000
29.81237 0.00000
29.71215 0.00000
26.33378 0.00000
27.82682 0.00000
28.71723 0.00000
28.35249 0.00000
27.69706 0.00000
30.82053 0.00000
28.76926 0.00000
26.04400 0.00000
30.00457 0.00000
27.29602 0.00000
24.49724 0.00000
26.06856 0.00000
26.64203 0.00000
26.50681 0.00000
30.62604 0.00000
