mean_smooth std_smooth
115.63559 0.00000
154.69543 0.00000
129.21090 0.00000
105.34194 0.00000
89.18897 0.00000
69.46209 0.00000
34.93455 0.00000
24.26323 0.00000
22.31169 0.00000
20.83382 0.00000
29.02581 0.00000
27.71236 0.00000
28.52452 0.00000
28.14117 0.00000
27.16695 0.00000
21.69290 0.00000
24.29339 0.00000
20.67271 0.00000
22.20643 0.00000
24.42577 0.00000
22.41956 0.00000
19.82530 0.00000
20.35138 0.00000
20.23834 0.00000
21.65969 0.00000
22.33729 0.00000
20.74562 0.00000
21.68108 0.00000
23.14406 0.00000
24.04564 0.00000
24.99445 0.00000
27.20940 0.00000
31.61362 0.00000
33.60362 0.00000
32.17619 0.00000
30.23214 0.00000
30.78446 0.00000
28.28186 0.00000
24.40126 0.00000
26.63334 0.00000
30.97190 0.00000
41.31750 0.00000
44.93373 0.00000
43.12790 0.00000
40.49472 0.00000
39.16147 0.00000
28.43836 0.00000
25.77884 0.00000
30.72641 0.00000
30.67902 0.00000
29.89274 0.00000
31.00903 0.00000
33.68623 0.00000
32.59502 0.00000
30.29521 0.00000
28.88818 0.00000
29.92077 0.00000
25.59981 0.00000
23.23388 0.00000
25.31606 0.00000
26.26674 0.00000
25.66556 0.00000
23.43272 0.00000
24.52366 0.00000
25.94125 0.00000
27.95775 0.00000
32.95294 0.00000
33.01686 0.00000
35.02357 0.00000
34.60855 0.00000
30.16410 0.00000
24.15049 0.00000
25.77790 0.00000
22.77621 0.00000
22.96655 0.00000
25.31834 0.00000
25.21078 0.00000
24.37778 0.00000
24.56805 0.00000
24.71761 0.00000
26.91771 0.00000
27.67243 0.00000
31.45773 0.00000
28.27468 0.00000
28.46300 0.00000
24.86391 0.00000
26.85598 0.00000
26.87582 0.00000
27.00018 0.00000
25.79878 0.00000
28.87599 0.00000
27.17652 0.00000
24.74108 0.00000
32.19835 0.00000
29.58864 0.00000
29.08955 0.00000
32.17692 0.00000
32.36564 0.00000
28.51112 0.00000
32.71205 0.00000
