mean_smooth std_smooth
301.71366 0.00000
271.67701 0.00000
299.90374 0.00000
327.82669 0.00000
329.42798 0.00000
425.15445 0.00000
447.06465 0.00000
439.96682 0.00000
419.89004 0.00000
411.96723 0.00000
280.42484 0.00000
244.14421 0.00000
252.59574 0.00000
247.93206 0.00000
234.79807 0.00000
286.44503 0.00000
323.78183 0.00000
339.04174 0.00000
355.65262 0.00000
381.00030 0.00000
393.14263 0.00000
370.23900 0.00000
332.82518 0.00000
280.98003 0.00000
277.85992 0.00000
445.36086 0.00000
467.12817 0.00000
492.57139 0.00000
663.00285 0.00000
669.01700 0.00000
461.44602 0.00000
497.28982 0.00000
421.56691 0.00000
292.28168 0.00000
260.28894 0.00000
244.41608 0.00000
183.84446 0.00000
229.55650 0.00000
215.45562 0.00000
246.84892 0.00000
265.48857 0.00000
316.39415 0.00000
312.06219 0.00000
322.64806 0.00000
297.73194 0.00000
306.84263 0.00000
281.85605 0.00000
296.14098 0.00000
283.18009 0.00000
286.82055 0.00000
350.22051 0.00000
347.73730 0.00000
373.15773 0.00000
360.49312 0.00000
385.75638 0.00000
327.00272 0.00000
302.34826 0.00000
278.85803 0.00000
313.64686 0.00000
301.38814 0.00000
260.70640 0.00000
269.22525 0.00000
265.56563 0.00000
305.20979 0.00000
312.82203 0.00000
326.49229 0.00000
332.30225 0.00000
347.02935 0.00000
273.11555 0.00000
237.17483 0.00000
242.28794 0.00000
260.63451 0.00000
249.22064 0.00000
646.21250 0.00000
658.69546 0.00000
671.18893 0.00000
651.87614 0.00000
667.87785 0.00000
275.08494 0.00000
249.49126 0.00000
247.83013 0.00000
228.27994 0.00000
187.19853 0.00000
212.69346 0.00000
231.73937 0.00000
236.66846 0.00000
222.87173 0.00000
215.31807 0.00000
179.35559 0.00000
191.78165 0.00000
204.70814 0.00000
216.04739 0.00000
221.66143 0.00000
271.24713 0.00000
301.54515 0.00000
280.66894 0.00000
428.34589 0.00000
435.86651 0.00000
419.96716 0.00000
382.88554 0.00000
