mean_smooth std_smooth
4.52536 0.00000
4.00983 0.00000
4.23592 0.00000
4.21492 0.00000
4.13217 0.00000
4.10633 0.00000
4.12222 0.00000
3.99047 0.00000
3.90175 0.00000
3.96870 0.00000
3.88551 0.00000
3.95995 0.00000
3.99103 0.00000
4.07085 0.00000
4.12927 0.00000
4.09922 0.00000
3.98766 0.00000
4.11663 0.00000
4.12689 0.00000
4.06155 0.00000
4.10484 0.00000
4.24241 0.00000
4.06662 0.00000
4.12180 0.00000
4.12043 0.00000
4.17397 0.00000
4.29827 0.00000
4.43653 0.00000
4.30592 0.00000
4.24141 0.00000
4.18676 0.00000
4.13878 0.00000
3.91066 0.00000
3.87424 0.00000
4.00650 0.00000
4.03444 0.00000
3.91864 0.00000
4.04465 0.00000
4.04144 0.00000
3.93089 0.00000
3.91416 0.00000
4.02378 0.00000
3.99046 0.00000
4.13741 0.00000
4.15259 0.00000
4.15445 0.00000
4.02357 0.00000
3.97400 0.00000
3.81767 0.00000
3.79905 0.00000
3.82699 0.00000
3.80115 0.00000
3.93591 0.00000
3.98211 0.00000
4.12198 0.00000
4.14013 0.00000
4.21881 0.00000
4.16645 0.00000
4.20223 0.00000
3.97402 0.00000
3.82591 0.00000
3.70574 0.00000
3.82060 0.00000
3.86635 0.00000
3.94076 0.00000
3.89422 0.00000
3.90537 0.00000
3.81732 0.00000
3.71276 0.00000
3.87234 0.00000
4.16365 0.00000
4.33647 0.00000
4.22921 0.00000
4.24259 0.00000
3.98364 0.00000
3.82070 0.00000
3.68093 0.00000
3.76844 0.00000
3.75806 0.00000
3.97217 0.00000
3.88031 0.00000
4.15962 0.00000
4.12169 0.00000
4.18745 0.00000
4.08909 0.00000
4.15220 0.00000
3.81805 0.00000
3.64263 0.00000
3.68461 0.00000
3.74577 0.00000
3.79668 0.00000
4.07496 0.00000
4.20114 0.00000
4.12002 0.00000
4.17688 0.00000
4.13221 0.00000
3.83500 0.00000
3.83363 0.00000
3.75397 0.00000
3.71242 0.00000
