omega_T,delay,energy
0.00,106.61510,2.68118
0.05,81.16372,2.90220
0.10,72.73477,3.05538
0.15,62.56915,3.16030
0.20,57.83474,3.24763
0.25,50.69924,3.35238
0.30,43.44114,3.49837
0.35,37.15567,3.58709
0.40,33.62106,3.65739
0.45,31.57309,3.72823
0.50,30.25293,3.77806
0.55,29.19695,3.80862
0.60,28.66013,3.86709
0.65,28.30887,3.96123
0.70,27.95764,3.96797
0.75,27.96459,3.98082
0.80,27.68730,3.99164
0.85,28.13054,3.97403
0.90,28.90599,3.96999
0.95,29.02279,3.95747
1.00,28.80496,3.97686
