mean_smooth std_smooth
4.12815 0.00000
3.74237 0.00000
4.06998 0.00000
4.08172 0.00000
4.05554 0.00000
4.10750 0.00000
4.19073 0.00000
4.04671 0.00000
4.00446 0.00000
4.06139 0.00000
3.98502 0.00000
4.05431 0.00000
4.13103 0.00000
4.16518 0.00000
4.22453 0.00000
4.19582 0.00000
4.08573 0.00000
4.17611 0.00000
4.26266 0.00000
4.22651 0.00000
4.26617 0.00000
4.40870 0.00000
4.30745 0.00000
4.32571 0.00000
4.31751 0.00000
4.39401 0.00000
4.51702 0.00000
4.58213 0.00000
4.44426 0.00000
4.32081 0.00000
4.30326 0.00000
4.23322 0.00000
3.98224 0.00000
3.94871 0.00000
4.11355 0.00000
4.11453 0.00000
3.98543 0.00000
4.16116 0.00000
4.18813 0.00000
4.14665 0.00000
4.15937 0.00000
4.30196 0.00000
4.27421 0.00000
4.40638 0.00000
4.41577 0.00000
4.37749 0.00000
4.27342 0.00000
4.22716 0.00000
4.00422 0.00000
3.95755 0.00000
3.96283 0.00000
3.88804 0.00000
4.00315 0.00000
4.08628 0.00000
4.20708 0.00000
4.20321 0.00000
4.31324 0.00000
4.26032 0.00000
4.32580 0.00000
4.15502 0.00000
4.10754 0.00000
4.08769 0.00000
4.23157 0.00000
4.23190 0.00000
4.24335 0.00000
4.13959 0.00000
4.00965 0.00000
3.93875 0.00000
3.87738 0.00000
4.01673 0.00000
4.35482 0.00000
4.55674 0.00000
4.43759 0.00000
4.48154 0.00000
4.23465 0.00000
4.01603 0.00000
3.85983 0.00000
3.94529 0.00000
3.95812 0.00000
4.16057 0.00000
4.06791 0.00000
4.39222 0.00000
4.32704 0.00000
4.36653 0.00000
4.28435 0.00000
4.46574 0.00000
4.13070 0.00000
4.02890 0.00000
4.06056 0.00000
4.16120 0.00000
4.05250 0.00000
4.29433 0.00000
4.39157 0.00000
4.28075 0.00000
4.32379 0.00000
4.31738 0.00000
4.04644 0.00000
4.04396 0.00000
3.99985 0.00000
3.95580 0.00000
