mean_smooth std_smooth
3.99559 0.00000
3.73704 0.00000
4.01816 0.00000
4.01693 0.00000
3.98294 0.00000
4.02861 0.00000
4.01979 0.00000
3.87766 0.00000
3.78373 0.00000
3.83258 0.00000
3.57120 0.00000
3.53773 0.00000
3.62012 0.00000
3.66130 0.00000
3.60472 0.00000
3.68594 0.00000
3.72988 0.00000
3.79189 0.00000
3.80400 0.00000
3.88373 0.00000
3.86265 0.00000
3.88106 0.00000
3.63230 0.00000
3.70504 0.00000
3.68920 0.00000
3.92369 0.00000
4.04611 0.00000
4.27069 0.00000
4.09805 0.00000
3.95578 0.00000
3.90334 0.00000
3.88609 0.00000
3.62644 0.00000
3.64309 0.00000
3.69041 0.00000
3.68955 0.00000
3.70951 0.00000
3.82888 0.00000
3.87199 0.00000
3.80794 0.00000
3.75038 0.00000
3.87041 0.00000
3.92915 0.00000
4.01176 0.00000
4.10422 0.00000
4.12189 0.00000
3.92113 0.00000
3.81345 0.00000
3.66977 0.00000
3.72934 0.00000
3.74153 0.00000
3.76700 0.00000
3.92018 0.00000
3.93351 0.00000
3.90709 0.00000
3.95351 0.00000
3.99607 0.00000
3.94967 0.00000
4.14859 0.00000
3.96677 0.00000
3.64886 0.00000
3.53225 0.00000
3.61948 0.00000
3.55504 0.00000
3.58291 0.00000
3.74519 0.00000
3.70620 0.00000
3.61023 0.00000
3.45642 0.00000
3.61286 0.00000
3.95294 0.00000
4.23636 0.00000
4.18653 0.00000
4.23006 0.00000
4.04696 0.00000
3.78790 0.00000
3.54731 0.00000
3.62619 0.00000
3.57796 0.00000
3.82177 0.00000
3.65107 0.00000
3.94899 0.00000
3.82578 0.00000
4.03393 0.00000
3.87832 0.00000
4.11069 0.00000
3.74068 0.00000
3.61593 0.00000
3.56814 0.00000
3.71341 0.00000
3.66015 0.00000
3.99974 0.00000
4.17862 0.00000
4.16101 0.00000
4.08855 0.00000
3.99588 0.00000
3.66884 0.00000
3.67572 0.00000
3.59492 0.00000
3.70345 0.00000
