mean_smooth std_smooth
24.92955 0.00000
29.78559 0.00000
25.18861 0.00000
23.96123 0.00000
24.28150 0.00000
22.87920 0.00000
21.28005 0.00000
23.34068 0.00000
25.19549 0.00000
24.05404 0.00000
30.31935 0.00000
29.12806 0.00000
29.97540 0.00000
28.81131 0.00000
27.99303 0.00000
24.51469 0.00000
26.40720 0.00000
23.52300 0.00000
25.82928 0.00000
27.72047 0.00000
25.74365 0.00000
23.33767 0.00000
24.01035 0.00000
23.44291 0.00000
24.56893 0.00000
26.09937 0.00000
25.91548 0.00000
26.16817 0.00000
27.40394 0.00000
28.86886 0.00000
29.97782 0.00000
30.52633 0.00000
34.73198 0.00000
36.24708 0.00000
34.05548 0.00000
32.37358 0.00000
34.53056 0.00000
33.31370 0.00000
31.53545 0.00000
32.85804 0.00000
35.22096 0.00000
35.90767 0.00000
34.57434 0.00000
31.93388 0.00000
31.79826 0.00000
32.15398 0.00000
31.78576 0.00000
35.05990 0.00000
38.70449 0.00000
39.75322 0.00000
38.82298 0.00000
40.47840 0.00000
40.23836 0.00000
40.43277 0.00000
37.26415 0.00000
34.99896 0.00000
33.82665 0.00000
31.66166 0.00000
30.00801 0.00000
34.53922 0.00000
38.69711 0.00000
40.22644 0.00000
38.21049 0.00000
38.53725 0.00000
37.81663 0.00000
38.13099 0.00000
39.61781 0.00000
39.90480 0.00000
42.33763 0.00000
39.88457 0.00000
36.74298 0.00000
32.65298 0.00000
35.76926 0.00000
33.23393 0.00000
34.11503 0.00000
34.56696 0.00000
34.88651 0.00000
31.99326 0.00000
33.86623 0.00000
34.81699 0.00000
37.29711 0.00000
37.78023 0.00000
42.27094 0.00000
38.75928 0.00000
39.87665 0.00000
39.40720 0.00000
43.31652 0.00000
51.13225 0.00000
51.16354 0.00000
50.74869 0.00000
49.67120 0.00000
45.24492 0.00000
35.24097 0.00000
38.25614 0.00000
34.48453 0.00000
34.84957 0.00000
37.89823 0.00000
40.42292 0.00000
41.73147 0.00000
46.79430 0.00000
