mean_smooth std_smooth
4.15407 0.00000
3.80062 0.00000
4.12034 0.00000
4.12275 0.00000
4.08079 0.00000
4.13714 0.00000
4.19942 0.00000
4.05128 0.00000
3.99645 0.00000
4.05811 0.00000
3.92746 0.00000
3.93650 0.00000
3.97972 0.00000
4.01298 0.00000
4.04907 0.00000
4.03639 0.00000
3.96361 0.00000
4.08334 0.00000
4.11695 0.00000
4.09142 0.00000
4.18135 0.00000
4.33360 0.00000
4.17960 0.00000
4.17290 0.00000
4.16168 0.00000
4.20415 0.00000
4.28460 0.00000
4.39480 0.00000
4.32043 0.00000
4.17828 0.00000
4.15314 0.00000
4.16190 0.00000
3.94684 0.00000
3.86533 0.00000
4.00800 0.00000
4.00071 0.00000
3.85772 0.00000
3.97472 0.00000
4.03061 0.00000
3.95481 0.00000
4.01018 0.00000
4.11655 0.00000
4.08487 0.00000
4.24942 0.00000
4.27683 0.00000
4.18951 0.00000
4.06805 0.00000
4.04583 0.00000
3.85074 0.00000
3.82830 0.00000
3.89853 0.00000
3.88715 0.00000
3.96971 0.00000
4.07005 0.00000
4.21426 0.00000
4.19969 0.00000
4.22582 0.00000
4.17936 0.00000
4.19958 0.00000
3.99624 0.00000
3.86133 0.00000
3.87926 0.00000
4.07202 0.00000
4.08638 0.00000
4.12018 0.00000
4.04506 0.00000
3.82538 0.00000
3.64034 0.00000
3.54179 0.00000
3.71257 0.00000
4.05950 0.00000
4.37603 0.00000
4.30829 0.00000
4.36765 0.00000
4.14108 0.00000
3.92577 0.00000
3.79373 0.00000
3.89673 0.00000
3.75342 0.00000
3.94646 0.00000
3.85537 0.00000
4.05486 0.00000
3.96604 0.00000
4.17903 0.00000
3.99782 0.00000
4.08968 0.00000
3.84236 0.00000
3.73164 0.00000
3.74671 0.00000
3.95011 0.00000
3.98768 0.00000
4.24726 0.00000
4.37104 0.00000
4.27316 0.00000
4.31810 0.00000
4.28690 0.00000
4.01135 0.00000
4.02789 0.00000
3.97243 0.00000
3.86510 0.00000
