method,omega,delay,energy,violation_rate,p95
ours,0.000,16.2888,0.02835,0.2821,57.228
ours,0.100,14.3596,0.03087,0.2708,51.222
ours,0.200,13.0553,0.02988,0.2342,46.021
ours,0.300,13.1676,0.03332,0.2297,50.468
ours,0.400,12.8831,0.03244,0.2250,48.780
ours,0.500,12.0116,0.03213,0.2119,44.940
ours,0.600,12.7598,0.03244,0.2205,49.921
ours,0.700,12.0984,0.03348,0.2002,43.619
ours,0.800,11.3161,0.03512,0.2069,39.396
ours,0.900,9.7365,0.03973,0.1507,37.778
ours,1.000,9.9226,0.05536,0.1350,36.062
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
