ep,w,mean_delay,mean_energy,violation_rate,p95,alpha,H,c_loss
0,0.7308558067701578,27.144763554496542,0.019252751712655405,0.5,74.53074191341071,nan,nan,nan
1,0.4545898672304828,18.452420228292464,0.023808244828164182,0.36363636363636365,50.28472127765797,nan,nan,nan
2,0.09092592982038039,11.30000415911402,0.0036618205446599245,0.18181818181818182,48.54385664654635,nan,nan,nan
3,0.3949810681130538,7.534177125886941,0.016177222524211336,0.19444444444444445,31.4728784335988,nan,nan,nan
4,0.8044214253893696,14.051757114732986,0.0054816792140630856,0.24242424242424243,39.207288181977304,0.05001499876379967,0.06961507350206375,0.06084249168634415
5,0.7841668388952904,14.80118069929277,0.009374840346868817,0.3142857142857143,61.810121773657606,0.050587127916514874,0.302322715818882,0.03998337976634502
6,0.5468735102987868,15.848985805124613,0.013590264435155196,0.28888888888888886,60.29036466786972,0.05161287065595389,0.33177147328853607,0.040094362841919064
7,0.390987564806491,17.648354645421232,0.007662006687645206,0.3,60.608160788596756,0.053082620874047276,0.2901274126768112,0.04529235130175948
8,0.18267607630707183,5.239252925009466,0.022104594740493835,0.06818181818181818,21.35428573829525,0.05481092408299446,0.30086934596300124,0.04710872844792902
9,0.7413584322683303,18.546591084182918,0.017064069978218604,0.3076923076923077,62.15820868149026,0.056411425173282626,0.3163786120712757,0.042149006640538576
10,0.5805948250300117,12.328381585653924,0.010775365686244735,0.16666666666666666,32.71182631153326,0.05813048668205738,0.30985410287976267,0.03854006107896566
11,0.25839744045772106,15.656129336894447,0.01755022086168442,0.3333333333333333,52.849946331018636,0.05990301325917244,0.32495904058218,0.031227064328268172
12,0.6515012300620571,15.473523869287723,0.01720016397532835,0.24444444444444444,57.04654104680107,0.061629247404634956,0.33345485806465147,0.029022281607612967
13,0.7026068017053457,26.632409574049216,0.06820323998094799,0.5531914893617021,57.74932625979498,0.0635745607316494,0.29975467279553414,0.029328617816790938
14,0.8523820123522584,11.270183677377183,0.009161336504831663,0.1836734693877551,35.83699133168893,0.06578215397894382,0.30362615823745726,0.042147489245980975
15,0.891121524170242,11.787993434689554,0.010704420697703061,0.22413793103448276,53.33680505403573,0.06809709765017033,0.29522952616214754,0.0304040486831218
16,0.1380265846566544,8.637134797390537,0.005942326072301327,0.21052631578947367,29.817660085776826,0.07062283784151077,0.2907190252840519,0.02838687639683485
17,0.3029986443755618,14.765018345695365,0.02308943398096435,0.3684210526315789,47.73805391156373,0.07330817572772502,0.2705806604027748,0.02849795621819794
18,0.9450662508138998,22.088018475903755,0.006851609220676991,0.35294117647058826,65.33320593394572,0.0762861892580986,0.25969459623098373,0.02474593114107847
19,0.06434344449547491,16.502720049735643,0.017482616051911686,0.2631578947368421,56.76453353209436,0.07946546480059624,0.2528534276783466,0.029168230053037404
20,0.839239241317355,20.790761146846375,0.024725451057647722,0.4528301886792453,64.42556822538195,0.0827831882238388,0.2451562088727951,0.028658090103417636
21,0.360635301063272,11.29796482132911,0.005723375057029024,0.2903225806451613,40.126521868004986,0.08599427588284016,0.3049169336259365,0.04046384135261178
22,0.6095942156921805,15.94550848629822,0.025605489985883797,0.2857142857142857,41.946849277752655,0.08874815851449966,0.30603241339325904,0.03221842732280493
