method,omega,delay,energy,violation_rate,p95
ours,0.000,11.7691,0.03383,0.2069,34.878
ours,0.100,11.0362,0.03417,0.1758,34.768
ours,0.200,11.8868,0.03599,0.2027,36.572
ours,0.300,11.3731,0.03641,0.1897,33.642
ours,0.400,10.5998,0.03886,0.1796,33.841
ours,0.500,9.0173,0.04380,0.1336,27.218
ours,0.600,8.3278,0.04960,0.1205,25.759
ours,0.700,7.7498,0.05649,0.0958,23.404
ours,0.800,7.4549,0.05811,0.0808,20.624
ours,0.900,6.9596,0.06478,0.0724,21.372
ours,1.000,6.7905,0.06918,0.0494,18.151
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
