ep,w,delay,energy,viol,p95,c_loss,extra
0,0.37061547061658573,5.292192694203734,0.06817046846941524,0.23333333333333334,7.0400775006551966,nan,nan
1,0.9440518844446194,7.183228394024605,0.06846193515995104,0.5666666666666667,11.351470062752341,nan,nan
2,0.6177802776258918,5.593896522423318,0.06817816706907813,0.3,7.564377580898312,nan,nan
3,0.11424134610233302,5.038444954430445,0.06883106573130772,0.06666666666666667,6.0159433953984776,nan,nan
4,0.014926824656594548,6.226886579579611,0.06867925918418497,0.5666666666666667,8.096205347051555,nan,nan
5,0.050189112610089126,5.706730542900723,0.06801789427158016,0.4,7.043794444796273,nan,nan
6,0.9992552493089625,6.152949750069392,0.06774569958014058,0.4,9.993048782830394,nan,nan
7,0.33393278982039987,5.711194366157723,0.06857156305026836,0.4,7.672631778145865,nan,nan
8,0.13444412365027036,5.454099233598456,0.06840785227727354,0.26666666666666666,6.387341855358662,nan,nan
9,0.9540238964835519,6.01233737453265,0.06808222729935455,0.43333333333333335,7.958128151428625,nan,nan
10,0.7489656582554293,5.453775514726925,0.06819180780240773,0.26666666666666666,7.559984862992891,nan,nan
11,0.6604359925448825,6.584714739830832,0.06742252477198897,0.6,8.602233404196161,nan,nan
12,0.0013685817436858874,7.153161630545374,0.06764135376264815,0.6333333333333333,9.771269465061987,nan,nan
13,0.6633716038876919,5.336868075946857,0.0679396038819752,0.16666666666666666,6.742992456973017,nan,nan
14,0.8007726414118416,5.916216342848644,0.06917097697759025,0.4666666666666667,8.018656047071907,nan,nan
15,0.8976239252411766,5.6234133517125136,0.06834099854170178,0.3333333333333333,7.238615562064833,nan,nan
16,0.6158663044065114,6.635929471488555,0.06828329948796187,0.6333333333333333,9.546707302698753,2.0789827325127344,0.9905610680580139
17,0.8137077551758749,5.907607653718771,0.06809548950110673,0.4,7.473265610667214,1.3563233802715937,0.9986999452114105
18,0.9725718198811761,4.852294488210876,0.06781323474757843,0.03333333333333333,5.77596273233642,0.10084601026028395,0.9930141170819601
19,0.9223763073239707,6.357546798820485,0.06862466680921855,0.5,8.724053628007562,0.029249139813085398,0.981928410132726
20,0.9465456244464694,4.97662984489339,0.06855628428272216,0.13333333333333333,6.375936404234774,0.02469611503183842,0.9903303563594819
21,0.7787611079502614,5.322952176423428,0.06822569740063182,0.16666666666666666,6.9454209447351865,0.02330535389482975,0.9710814932982127
22,0.6744334192595909,5.22501885483029,0.06853880473524197,0.16666666666666666,6.640728541519562,0.021894431579858063,0.9550594210624694
23,0.9999474646388684,4.875238033628965,0.0687027984710469,0.1,6.1644560611477734,0.022961741437514623,0.935927544037501
24,0.6971648476139987,4.818124926896591,0.06854834154720621,0.03333333333333333,5.743008688129767,0.021264701274534066,0.9205880602200825
25,0.48120721038238123,4.7568158280196995,0.06872701567535189,0.03333333333333333,5.737227650837164,0.01912076969941457,0.8742558121681213
26,0.034884317125557805,5.046495175168219,0.06869969006990008,0.1,6.1979085327415255,0.018857194545368352,0.8800024727980296
27,0.3156015509218775,4.843960883032855,0.068809442724443,0.03333333333333333,5.638651591223074,0.019808206955591837,0.8488896906375885
28,0.12628342715338167,4.850807210471945,0.06826855220834226,0.0,5.5694509919589175,0.01703338141863545,0.8344764729340871
29,0.5506488715202057,4.912328879488714,0.06814527758805942,0.06666666666666667,6.013888796584584,0.0157059741516908,0.822143413623174
