step,env_step,ep_done,viol,mean_delay,mean_energy,alpha,H,c_loss
1500,48000,480,0.3148928417015512,16.76861491886125,0.011765705584714998,0.0744213399887085,0.05225986505672336,0.06919114920496941
3000,96000,960,0.3023554942672312,16.280890263090832,0.010554910238492698,0.1299691802561283,0.047408710978925225,0.09723449205607176
4500,144000,1440,0.3063352003569734,16.313547404019506,0.009912506656347114,0.23408159533143044,0.04546646548062563,0.11740232258290052
6000,192000,1920,0.30788673602697514,16.338859996215305,0.010146559122037406,0.30000001192092896,0.04522660395130515,0.12760760752111674
7500,240000,2400,0.3032061085374644,16.19080333937235,0.010175664464586343,0.30000001192092896,0.04266321124508977,0.13346731227636338
9000,288000,2880,0.2986909955881198,15.813228104926585,0.009813491798191043,0.30000001192092896,0.041313255809247496,0.1301728698760271
10500,336000,3360,0.3023063984457133,15.972125324003919,0.010265252767717847,0.30000001192092896,0.04107300328090787,0.1317896435856819
12000,384000,3840,0.30626673667126,16.276415492241657,0.010294455784586898,0.30000001192092896,0.04204933213815093,0.12779631649702788
