ep,w,mean_delay,mean_energy,violation_rate,p95,alpha,H,c_loss
0,0.8922779508025694,15.268780548069135,0.06790057203165221,0.28205128205128205,44.45880578807633,nan,nan,nan
1,0.6403453664625091,7.225717453996557,0.06518978060757022,0.09090909090909091,26.825367598195783,nan,nan,nan
2,0.9999803050523627,6.309712235920416,0.06242963451566702,0.06521739130434782,27.1031300924517,nan,nan,nan
3,0.5430780586594809,5.970753717286822,0.056925460564624636,0.08536585365853659,24.31251416191752,nan,nan,nan
4,0.0799765133718275,6.492928186760824,0.04474184713756381,0.06097560975609756,26.17050671562819,0.30000001192092896,1.3392870426177979,0.05771499127149582
5,0.9878973124356244,5.619242240624508,0.054078085836895926,0.053763440860215055,19.13146855349879,0.30000001192092896,1.3274730813503266,0.03219333020504564
6,0.180174577801818,10.451004532831616,0.054066816206683764,0.19718309859154928,42.03635343311275,0.30000001192092896,1.273152506351471,0.016503715170547367
7,0.005405034889218205,9.185925158367194,0.06316590269799148,0.16091954022988506,27.902585869542428,0.30000001192092896,1.2568600809574126,0.0111995849898085
8,0.09190063374998986,10.198719998694834,0.03400408938892302,0.17105263157894737,38.949275656990906,0.30000001192092896,1.2902076506614686,0.010717325862497091
9,0.16443574651641907,13.033427228682518,0.05660747918813219,0.1891891891891892,54.31276466760891,0.30000001192092896,1.2900544619560241,0.013533035241998732
10,0.2270392761767149,9.658657602631754,0.052478604443310935,0.11267605633802817,46.34114385669681,0.30000001192092896,1.254346296787262,0.01356878861784935
11,0.2672829187737272,14.339792690016836,0.05045220317861064,0.2558139534883721,38.07408131275476,0.30000001192092896,1.243939883708954,0.015783216049894692
12,0.9844103094339469,5.303450869203487,0.08220745966750628,0.031578947368421054,14.97800009614848,0.30000001192092896,1.246967259645462,0.012420382257550955
13,0.5856123603062194,11.09043028402374,0.06448402879391595,0.18309859154929578,41.27421687706715,0.30000001192092896,1.225723853111267,0.010688085490837693
14,0.01512492664199591,12.163265452494855,0.04493736060956601,0.24705882352941178,32.23852898461777,0.30000001192092896,1.2424634313583374,0.017255458468571305
15,0.5824347224212483,7.773184786475445,0.049856328320900194,0.0967741935483871,32.948519362541305,0.30000001192092896,1.250810226202011,0.013387107448652387
16,0.9801147527355525,7.906551449213886,0.09183153444057011,0.05263157894736842,19.784720393020812,0.30000001192092896,1.2505864202976227,0.0097379287192598
17,0.25080811272303305,9.692250109031205,0.048470584888579527,0.18421052631578946,30.994628231231413,0.30000001192092896,0.6142012090981006,0.03805329618509859
18,0.00812224858343391,8.040316105611751,0.045588119960659194,0.16666666666666666,28.26157641598108,0.30000001192092896,0.7191871586441994,0.021163216289132834
19,0.0016931610329926395,9.617222769475978,0.05110526122794008,0.13580246913580246,27.86327959147046,0.30000001192092896,0.7992836844921112,0.013850415637716652
20,0.04561688045058638,7.5597748933318805,0.0639304907100971,0.056818181818181816,25.24934104594533,0.30000001192092896,0.7369039604067802,0.013500133845955133
21,0.0260122837646936,9.728751260619177,0.04121387331465695,0.1511627906976744,32.24455581059587,0.30000001192092896,0.8079988270998001,0.010649138814769685
22,0.01030578228602916,5.326578522603401,0.0490526882641584,0.06097560975609756,22.41287786495244,0.30000001192092896,0.8222995859384536,0.009054520656354726
23,0.3535381559069848,5.638092794393373,0.05258381368246993,0.05813953488372093,22.744105726835848,0.30000001192092896,0.8041377002000809,0.007011293028481305
24,0.8147466838730338,6.753211477109736,0.04721730113464868,0.056179775280898875,20.090109226193576,0.30000001192092896,0.859843322634697,0.008640831494703889
25,0.9999875103301002,12.098564770421115,0.0671509416898673,0.21518987341772153,39.63714894736656,0.30000001192092896,0.9007890379428863,0.008714045323431492
26,0.6760690825213052,11.374262222711067,0.06881810362876689,0.17721518987341772,29.613424505147886,0.30000001192092896,0.8686590677499771,0.009655430135317146
27,0.015239532679382876,16.98301573507197,0.055373873691749106,0.3424657534246575,51.39546351255662,0.30000001192092896,0.8856751185655594,0.009043503236025572
28,0.9829713140992478,8.577014718427677,0.06292545029083607,0.15555555555555556,26.84215891713346,0.30000001192092896,0.8770890319347382,0.01593150997534394
29,0.756209537119429,6.681791831863516,0.05471380809486556,0.10588235294117647,24.931144548415556,0.30000001192092896,0.8679638975858688,0.013488824721425772
30,0.096145736913666,11.486649267830343,0.04209566251175126,0.21686746987951808,42.10297281096449,0.30000001192092896,0.8557967218756676,0.014482410615310073
31,0.0020664133630659775,10.383134143880884,0.05188202571847148,0.14084507042253522,39.22111390601337,0.30000001192092896,0.8497090941667557,0.015677447863854468
