ep,w,mean_delay,mean_energy,violation_rate,p95,alpha,H,c_loss
0,0.8922779508025694,13.190354078942724,0.009154272685442055,0.1875,45.27920983206262,nan,nan,nan
1,0.6403453664625091,10.615123969830877,0.03756896763286351,0.16,50.667014894014386,nan,nan,nan
2,0.9999803050523627,11.503748988740204,0.005938469924843486,0.1891891891891892,58.14040697652855,nan,nan,nan
3,0.5430780586594809,23.835433847726982,0.008742521017287255,0.5135135135135135,51.04412793271864,nan,nan,nan
4,0.0799765133718275,12.5142848612318,0.006449876978155107,0.2549019607843137,31.923718184378405,0.30000001192092896,0.03967840224504471,0.8470682501792908
5,0.9878973124356244,17.19367736755092,0.003985499611971981,0.34285714285714286,66.33301032752486,0.30000001192092896,0.19620578410103917,0.13725631410256028
6,0.180174577801818,12.403412240069557,0.07717408269808661,0.2222222222222222,38.092102417678916,0.30000001192092896,0.2908471482992172,0.06499673530459404
7,0.005405034889218205,11.478411725837248,0.021948058222203908,0.15625,44.309575573014776,0.30000001192092896,0.2702560774981976,0.0741035420075059
8,0.09190063374998986,13.069367170068924,0.005799344458820088,0.2571428571428571,52.698546417810505,0.30000001192092896,0.2327900004386902,0.10203325513750315
9,0.16443574651641907,18.628676280105964,0.04211685924169726,0.35,77.08049127148723,0.30000001192092896,0.21617502078413964,0.1497552617639303
10,0.2270392761767149,20.873487059049786,0.005777879094086557,0.4230769230769231,50.60246229949843,0.30000001192092896,0.2163810308277607,0.1902596139907837
11,0.2672829187737272,24.756053020256704,0.022063862745898288,0.5,67.5705373068467,0.30000001192092896,0.2015077605843544,0.1966657255589962
12,0.9844103094339469,17.127120531398486,0.00926610719321137,0.325,63.125972443230765,0.30000001192092896,0.20858669638633728,0.1895748370885849
13,0.5856123603062194,10.61832476009139,0.014271214723642709,0.12,26.36293451209226,0.30000001192092896,0.21267278477549553,0.2052587915956974
14,0.01512492664199591,15.914964551137682,0.0162872394716243,0.3684210526315789,54.46595941785843,0.30000001192092896,0.1986836363375187,0.19012364253401756
15,0.5824347224212483,15.409840195933564,0.004590035643175505,0.2857142857142857,53.56107742768518,0.30000001192092896,0.18976868107914924,0.21708936043083668
16,0.9801147527355525,23.328117273085443,0.014184327971978538,0.34375,72.25179562555707,0.30000001192092896,0.18623393215239048,0.2195432749390602
17,0.25080811272303305,14.933940417341903,0.013466983040134715,0.35714285714285715,45.02390976926558,0.30000001192092896,0.17638050079345702,0.18053899757564068
18,0.26254189566989333,14.337090802838675,0.029353320306208807,0.3,34.368456400306876,0.30000001192092896,0.17097084395587445,0.172228821516037
19,0.004564952958312766,19.441392662792015,0.025436516702628573,0.3888888888888889,61.023626432753794,0.30000001192092896,0.18506535276770592,0.1687098117172718
20,0.5690172363238826,6.902028180959509,0.005068552743883977,0.12121212121212122,28.52171454086676,0.30000001192092896,0.17250450260937214,0.14717265866696835
21,0.005287960597338685,10.267437556434693,0.011131798395599976,0.16417910447761194,32.992652692143885,0.30000001192092896,0.16356097519397736,0.13349253498017788
